estimator,j,error_pct,n_alive
global,0,43.804,34598
global_raw,0,43.804,34598
recent,0,44.909,33657
recent_raw,0,44.909,33657
memoryless,0,43.804,34598
memoryless_class,0,34.021,34598
pooled,0,43.804,34598
class,0,34.021,34598
global,50,40.209,32300
global_raw,50,40.209,32300
recent,50,41.444,31375
recent_raw,50,41.444,31375
memoryless,50,40.999,32300
memoryless_class,50,30.307,32300
pooled,50,40.580,32300
class,50,30.034,32300
global,100,37.517,30495
global_raw,100,37.517,30495
recent,100,38.929,29614
recent_raw,100,38.940,29614
memoryless,100,39.149,30495
memoryless_class,100,29.067,30495
pooled,100,38.147,30495
class,100,27.483,30495
global,150,35.493,29012
global_raw,150,35.493,29012
recent,150,36.714,28160
recent_raw,150,36.762,28160
memoryless,150,37.769,29012
memoryless_class,150,29.644,29012
pooled,150,36.104,29012
class,150,25.537,29012
global,200,33.623,27511
global_raw,200,33.623,27511
recent,200,34.639,26688
recent_raw,200,34.726,26688
memoryless,200,37.370,27511
memoryless_class,200,31.496,27511
pooled,200,34.577,27511
class,200,23.764,27511
global,300,29.102,24233
global_raw,300,29.102,24233
recent,300,30.570,23556
recent_raw,300,30.841,23556
memoryless,300,37.355,24233
memoryless_class,300,36.598,24233
pooled,300,30.474,24233
class,300,20.198,24233
global,400,28.549,19797
global_raw,400,28.549,19797
recent,400,29.071,19209
recent_raw,400,30.631,19209
memoryless,400,37.961,19797
memoryless_class,400,41.772,19797
pooled,400,26.181,19797
class,400,16.403,19797
global,500,30.801,15555
global_raw,500,36.740,15555
recent,500,29.536,15081
recent_raw,500,38.048,15081
memoryless,500,35.694,15555
memoryless_class,500,46.116,15555
pooled,500,23.467,15555
class,500,14.198,15555
global,600,29.543,11227
global_raw,600,46.307,11227
recent,600,29.294,10839
recent_raw,600,46.324,10839
memoryless,600,28.867,11227
memoryless_class,600,47.408,11227
pooled,600,19.972,11227
class,600,13.456,11227
global,700,25.426,8291
global_raw,700,51.277,8291
recent,700,25.346,8005
recent_raw,700,51.468,8005
memoryless,700,26.336,8291
memoryless_class,700,49.106,8291
pooled,700,15.162,8291
global,800,20.299,6393
global_raw,800,54.428,6393
recent,800,20.140,6178
recent_raw,800,54.653,6178
memoryless,800,27.976,6393
memoryless_class,800,55.859,6393
pooled,800,12.416,6393
global,1000,13.032,3241
global_raw,1000,60.209,3241
recent,1000,12.957,3122
recent_raw,1000,60.441,3122
memoryless,1000,28.912,3241
memoryless_class,1000,65.185,3241
pooled,1000,8.996,3241
global_mean,0,43.967,34598
global_raw_mean,0,43.967,34598
recent_mean,0,44.909,33657
recent_raw_mean,0,44.909,33657
memoryless_mean,0,43.967,34598
memoryless_class_mean,0,32.688,34598
pooled_mean,0,43.967,34598
class_mean,0,32.688,34598
global_mean,50,40.954,32300
global_raw_mean,50,40.954,32300
recent_mean,50,41.444,31375
recent_raw_mean,50,41.444,31375
memoryless_mean,50,41.693,32300
memoryless_class_mean,50,30.298,32300
pooled_mean,50,41.155,32300
class_mean,50,29.405,32300
global_mean,100,38.250,30495
global_raw_mean,100,38.250,30495
recent_mean,100,38.929,29614
recent_raw_mean,100,38.940,29614
memoryless_mean,100,39.890,30495
memoryless_class_mean,100,30.230,30495
pooled_mean,100,39.195,30495
class_mean,100,27.306,30495
global_mean,150,35.947,29012
global_raw_mean,150,35.947,29012
recent_mean,150,36.714,28160
recent_raw_mean,150,36.762,28160
memoryless_mean,150,39.935,29012
memoryless_class_mean,150,31.485,29012
pooled_mean,150,37.538,29012
class_mean,150,25.790,29012
global_mean,200,33.697,27511
global_raw_mean,200,33.697,27511
recent_mean,200,34.639,26688
recent_raw_mean,200,34.726,26688
memoryless_mean,200,39.719,27511
memoryless_class_mean,200,34.038,27511
pooled_mean,200,36.144,27511
class_mean,200,24.220,27511
global_mean,300,29.014,24233
global_raw_mean,300,29.014,24233
recent_mean,300,30.570,23556
recent_raw_mean,300,30.841,23556
memoryless_mean,300,43.302,24233
memoryless_class_mean,300,40.638,24233
pooled_mean,300,32.901,24233
class_mean,300,21.829,24233
global_mean,400,22.613,19797
global_raw_mean,400,22.613,19797
recent_mean,400,29.071,19209
recent_raw_mean,400,30.631,19209
memoryless_mean,400,44.696,19797
memoryless_class_mean,400,45.868,19797
pooled_mean,400,29.988,19797
class_mean,400,19.758,19797
global_mean,500,29.210,15555
global_raw_mean,500,29.210,15555
recent_mean,500,29.536,15081
recent_raw_mean,500,38.048,15081
memoryless_mean,500,42.075,15555
memoryless_class_mean,500,49.948,15555
pooled_mean,500,26.775,15555
class_mean,500,18.477,15555
global_mean,600,29.543,11227
global_raw_mean,600,39.915,11227
recent_mean,600,29.294,10839
recent_raw_mean,600,46.324,10839
memoryless_mean,600,33.877,11227
memoryless_class_mean,600,50.482,11227
pooled_mean,600,21.321,11227
class_mean,600,17.504,11227
global_mean,700,25.426,8291
global_raw_mean,700,45.476,8291
recent_mean,700,25.346,8005
recent_raw_mean,700,51.468,8005
memoryless_mean,700,31.083,8291
memoryless_class_mean,700,51.794,8291
pooled_mean,700,17.039,8291
global_mean,800,20.299,6393
global_raw_mean,800,49.003,6393
recent_mean,800,20.140,6178
recent_raw_mean,800,54.653,6178
memoryless_mean,800,32.712,6393
memoryless_class_mean,800,56.563,6393
pooled_mean,800,16.544,6393
global_mean,1000,13.032,3241
global_raw_mean,1000,55.472,3241
recent_mean,1000,12.957,3122
recent_raw_mean,1000,60.441,3122
memoryless_mean,1000,33.379,3241
memoryless_class_mean,1000,65.252,3241
pooled_mean,1000,18.415,3241
